rank,model,n_features,fold_roc_auc_mean,fold_roc_auc_sd,fold_pr_auc_mean,fold_pr_auc_sd,fold_brier_mean,fold_brier_sd,oof_roc_auc,roc_auc_ci_low,roc_auc_ci_high,oof_pr_auc,pr_auc_ci_low,pr_auc_ci_high,oof_brier,brier_ci_low,brier_ci_high
1,RandomForest_ROS,53,0.9323631914304182,0.03698869824431036,0.9715020557068871,0.019842657292288915,0.10842941471923866,0.01703106190697344,0.9344056295551646,0.8985150490158923,0.9633183709530324,0.9716243664851589,0.9496437780373524,0.9870235893368248,0.10714665619394761,0.09109402548144055,0.12396245312429148
2,RandomForest_class_weight,53,0.9323043679010066,0.03629010836186067,0.9716475636190893,0.018734194549229477,0.11353586071605175,0.01752636294327631,0.9320599815699087,0.894371790999698,0.9633889362155611,0.9706214080469047,0.9478750342438167,0.9871069854396051,0.11250980370495235,0.09642037350684961,0.1300095698145894
3,GradientBoosting,53,0.922321266968326,0.033037816378325216,0.9679169117733757,0.01648881622062826,0.10772141798560331,0.02840039225290968,0.9318924352852475,0.8966102216748769,0.9623926258521132,0.9701016150788804,0.9475281743966182,0.9864347190222925,0.09482533818202155,0.07011504488002826,0.12205154841395265
4,RandomForest_SMOTE,53,0.9289126419798687,0.03822279407564252,0.9702169353935766,0.02082896499864803,0.10570541482130917,0.01807648091833094,0.9313897964312642,0.8947781381667593,0.9610185169597505,0.9706107767141805,0.9471113647123679,0.9864609047525672,0.10450974428620662,0.08760689013968775,0.12104187326623721
5,RandomForest,53,0.93044500877274,0.03803057376473303,0.9703891919999105,0.019959263357432228,0.11017079125856793,0.013874935651188218,0.9313060232889335,0.8973004394831995,0.9621154286399511,0.9698883147248198,0.9477551161720754,0.9863998541981186,0.10930165138543443,0.09308647877719506,0.12699896849244732
6,ExtraTrees_class_weight,53,0.9293765814017916,0.03703368578215837,0.9712020545218892,0.017305606450766148,0.10627188366310504,0.02073855652437216,0.9282901901650331,0.8914985410883854,0.9601939359419476,0.9699235716242586,0.9506428245805985,0.9851700525476298,0.1052465906921996,0.08691533438050723,0.12596072427915855
7,ExtraTrees,53,0.9282900544833318,0.03851970583992267,0.9709722957227664,0.01765864223926065,0.10380857883074074,0.01743119396027477,0.9271173661724051,0.8928523420917927,0.9577980687417414,0.9701750834839533,0.9510446203641839,0.9846447872524189,0.10289503130230668,0.0845466410573178,0.12284566246488605
8,GradientBoosting_SMOTE,53,0.9206148305476037,0.036713754806461406,0.9656963026173812,0.020403938352061262,0.10847523103928439,0.029897062250121908,0.9266147273184216,0.8864834922316384,0.9580587776728298,0.9669314926533924,0.940672952421346,0.9844573861346976,0.09594409810595216,0.06919822175588157,0.12567332642100534
9,GradientBoosting_ROS,53,0.9152215347677533,0.03322472177470184,0.9644683965831156,0.01724087240070308,0.11206811878789213,0.03039254760869689,0.9247717181871492,0.8864372041920215,0.9568077961723612,0.9678500397433671,0.9467392001618173,0.9838068737158587,0.09784090890099785,0.07087908066873311,0.12587901029605283
10,LogisticRegression_class_weight,53,0.9136464124111182,0.029000172175438023,0.9652503053586409,0.014485713944683887,0.12269577229283123,0.030432533269123416,0.9158917651001088,0.8771457873483565,0.948935425418005,0.966817454533668,0.9458971312709517,0.9813275921319283,0.11211432962020222,0.08190003121291405,0.1449253665415488
11,LogisticRegression,53,0.9121700064641242,0.028998774935469023,0.9650104852758552,0.014211348834962665,0.11973287644694736,0.027731720444539372,0.9148027142498115,0.8759512318565847,0.9474655784291378,0.9661502424470763,0.9460183457587057,0.9814463825775144,0.10954968907810664,0.07996773652144244,0.13932458103439266
12,LogisticRegression_SMOTE,53,0.9103294856404099,0.030031481348776923,0.9639862729926453,0.014770492855325461,0.12575377511892216,0.03190650203467021,0.9143838485381587,0.8776863572974117,0.9482313813052006,0.9657337783092627,0.9452216843001802,0.9820431144491261,0.11331242614587754,0.08323715373479755,0.1443141702420006
13,LogisticRegression_ROS,53,0.905540493120325,0.029958333748288067,0.9619152738624878,0.015237986071628129,0.13091537032650202,0.031838670937411606,0.9101114182792996,0.8715928438414472,0.9452468849946696,0.9641391286572216,0.9425301040272326,0.980798581478613,0.11728847895406598,0.0861883358338016,0.15000307110405522
14,SVM_RBF_class_weight,53,0.9103219133807369,0.03984798113708234,0.9619027348811247,0.022379097136645983,0.1078011161351064,0.02586092537267498,0.9088548211443411,0.8672130144000763,0.9448082040419062,0.9606707572172042,0.9353001466873634,0.9803550507720439,0.10529514209330615,0.0795531815029394,0.1327831797971026
