threshold,recall,specificity,precision,negative_predictive_value,f1,accuracy,tn,fp,fn,tp
0.01,1.0,0.043478260869565216,0.7238493723849372,1.0,0.8398058252427184,0.7272727272727273,3,66,0,173
0.02,1.0,0.08695652173913043,0.7330508474576272,1.0,0.8459657701711492,0.7396694214876033,6,63,0,173
0.03,1.0,0.13043478260869565,0.7424892703862661,1.0,0.8522167487684729,0.7520661157024794,9,60,0,173
0.04,1.0,0.17391304347826086,0.7521739130434782,1.0,0.858560794044665,0.7644628099173554,12,57,0,173
0.05,1.0,0.2318840579710145,0.7654867256637168,1.0,0.8671679197994987,0.78099173553719,16,53,0,173
0.06,0.9942196531791907,0.2318840579710145,0.7644444444444445,0.9411764705882353,0.864321608040201,0.7768595041322314,16,53,1,172
0.07,0.9942196531791907,0.2463768115942029,0.7678571428571429,0.9444444444444444,0.8664987405541562,0.78099173553719,17,52,1,172
0.08,0.9942196531791907,0.2753623188405797,0.7747747747747747,0.95,0.8708860759493671,0.7892561983471075,19,50,1,172
0.09,0.9942196531791907,0.3188405797101449,0.7853881278538812,0.9565217391304348,0.8775510204081632,0.8016528925619835,22,47,1,172
0.1,0.9942196531791907,0.3333333333333333,0.7889908256880734,0.9583333333333334,0.8797953964194374,0.8057851239669421,23,46,1,172
0.11,0.9942196531791907,0.34782608695652173,0.7926267281105991,0.96,0.882051282051282,0.8099173553719008,24,45,1,172
0.12,0.9942196531791907,0.34782608695652173,0.7926267281105991,0.96,0.882051282051282,0.8099173553719008,24,45,1,172
0.13,0.9942196531791907,0.34782608695652173,0.7926267281105991,0.96,0.882051282051282,0.8099173553719008,24,45,1,172
0.14,0.9942196531791907,0.34782608695652173,0.7926267281105991,0.96,0.882051282051282,0.8099173553719008,24,45,1,172
0.15,0.9942196531791907,0.36231884057971014,0.7962962962962963,0.9615384615384616,0.884318766066838,0.8140495867768595,25,44,1,172
0.16,0.9942196531791907,0.391304347826087,0.8037383177570093,0.9642857142857143,0.8888888888888888,0.8223140495867769,27,42,1,172
0.17,0.9884393063583815,0.42028985507246375,0.8104265402843602,0.9354838709677419,0.890625,0.8264462809917356,29,40,2,171
0.18,0.976878612716763,0.43478260869565216,0.8125,0.8823529411764706,0.8871391076115486,0.8223140495867769,30,39,4,169
0.19,0.976878612716763,0.463768115942029,0.8203883495145631,0.8888888888888888,0.8918205804749341,0.8305785123966942,32,37,4,169
0.2,0.976878612716763,0.4782608695652174,0.824390243902439,0.8918918918918919,0.8941798941798942,0.8347107438016529,33,36,4,169
